369 FFP linear_case well-constrained agree_well | 41.000115 1.410538 -0.009001 0.013754 1.000000 0.091048 | 0.000046 0.010585 0.000090 0.000105 0.000154 0.000740 | 40.999333 0.000257 0.004423 1.328981 0.038513 0.423419 -0.014766 0.037070 0.000605 0.025200 0.000974 0.018034 1.000187 0.001062 0.000254 0.097462 0.060590 0.002978 
3 FFP linear_case well-constrained agree_well | 70.903703 23.321657 0.923073 0.010984 1.000000 0.735691 | 0.021895 0.036510 0.001244 0.000111 0.002022 | 70.929896 0.029766 0.030076 22.658322 0.380824 0.377914 0.965154 0.024905 0.024214 1.000166 0.000187 0.000193 0.802498 0.043010 0.040169 
8 FFP linear_case well-constrained agree_well | 28.037590 1.811266 0.078526 0.015001 1.000000 0.541034 | 0.000128 0.003461 0.000209 0.000085 0.001430 | 28.036885 0.000131 0.000135 1.786679 0.004509 0.004779 0.081347 0.000299 0.000294 0.999962 0.000086 0.000086 0.548246 0.002036 0.001943 
10 FFP linear_case well-constrained agree_well | 73.059967 0.529861 -0.190463 0.095442 1.000000 0.652265 | 0.000121 0.001567 0.000796 0.000059 0.003249 | 73.057807 0.000122 0.000120 0.531791 0.002308 0.002341 0.184485 0.001227 0.001216 0.999966 0.000059 0.000062 0.643459 0.004855 0.004682 
15 FFP linear_case well-constrained agree_well | 71.054695 0.089525 -0.250372 0.227686 1.000000 0.623631 | 0.000064 0.000769 0.002182 0.000062 0.009161 | 71.054727 0.000064 0.000066 0.093259 0.001178 0.001167 0.202154 0.003947 0.004021 0.999901 0.000063 0.000062 0.579477 0.012976 0.012715 
21 FFP linear_case well-constrained agree_well | 28.249954 5.462983 0.100041 0.002460 1.000000 0.170815 | 0.000742 0.022169 0.000535 0.000110 0.000944 | 28.250179 0.000733 0.000756 5.500603 0.032154 0.031091 0.099508 0.000768 0.000759 0.999857 0.000116 0.000115 0.167108 0.001320 0.001323 
30 FFP linear_case well-constrained agree_well | 51.780941 0.558537 -0.975099 0.078942 1.000000 0.276384 | 0.003692 0.014014 0.036231 0.000057 0.021033 | 51.776461 0.003707 0.003848 0.599521 0.058172 0.061691 0.854729 0.161998 0.116529 0.999900 0.000055 0.000058 0.209817 0.086477 0.049718 
35 FFP linear_case well-constrained agree_well | 62.679554 0.791129 0.728072 0.112177 1.000000 0.243211 | 0.002758 0.013315 0.018707 0.000060 0.011101 | 62.679281 0.002807 0.002882 0.835996 0.042543 0.044441 0.658727 0.059607 0.051212 1.000014 0.000058 0.000061 0.192607 0.031268 0.023917 
37 FFP linear_case well-constrained agree_well | 50.125063 0.981603 -0.568125 0.021526 1.000000 0.183425 | 0.002843 0.016554 0.014783 0.000069 0.007551 | 50.124421 0.002808 0.002813 0.964146 0.044372 0.044293 0.582387 0.045884 0.040442 1.000021 0.000070 0.000069 0.189992 0.024947 0.020362 
50 FFP linear_case well-constrained agree_well | 67.419771 0.132712 0.612292 0.317694 1.000000 0.606601 | 0.000198 0.001007 0.006767 0.000035 0.011567 | 67.417880 0.000206 0.000201 0.130284 0.002940 0.003056 0.629830 0.025119 0.022775 0.999981 0.000035 0.000035 0.662527 0.044574 0.038639 
80 FFP linear_case well-constrained agree_well | 8.030357 0.642729 -0.380646 0.019939 1.000000 0.190087 | 0.001347 0.011991 0.010922 0.000082 0.007416 | 8.028854 0.001376 0.001374 0.621231 0.021970 0.021631 0.401932 0.022989 0.021218 1.000005 0.000082 0.000082 0.202033 0.016503 0.014486 
82 FFP linear_case well-constrained agree_well | 15.621462 2.102632 0.302309 0.015361 1.000000 0.317311 | 0.001472 0.016789 0.003654 0.000120 0.004846 | 15.621011 0.001477 0.001487 2.099283 0.026428 0.027025 0.306121 0.006040 0.005834 1.000111 0.000123 0.000124 0.315788 0.007977 0.007573 
99 FFP linear_case well-constrained agree_well | 71.355272 0.244366 -0.251906 0.217935 1.000000 0.733336 | 0.000066 0.000623 0.000692 0.000041 0.003169 | 71.355389 0.000064 0.000067 0.248949 0.001158 0.001147 0.211768 0.001529 0.001527 0.999988 0.000040 0.000042 0.700283 0.005704 0.005758 
113 FFP linear_case well-constrained agree_well | 69.940011 0.103709 -0.961854 0.372271 1.000000 0.844970 | 0.000406 0.001301 0.017488 0.000044 0.032039 | 69.940448 0.000387 0.000397 0.108165 0.006944 0.007020 0.878568 0.098887 0.082968 1.000008 0.000043 0.000043 0.751492 0.177063 0.129244 
120 FFP linear_case well-constrained agree_well | 46.637129 0.112491 0.657133 0.563430 1.000000 0.503069 | 0.000203 0.001138 0.007397 0.000035 0.012207 | 46.632843 0.000214 0.000207 0.139200 0.003078 0.003218 0.412519 0.016182 0.014563 0.999986 0.000035 0.000035 0.302810 0.016767 0.014637 
